transaction_id;product_id;customer_id;transaction_date;online_order;order_status;brand;product_line;product_class;product_size;list_price;standard_cost
47;35;475;5/7/17;True;Approved;Trek Bicycles;Standard;low;medium;1057,51;154,40
48;81;1305;6/10/17;True;Approved;Solex;Standard;medium;medium;1151,96;649,49
49;86;1251;6/17/17;False;Approved;OHM Cycles;Standard;medium;medium;235,63;125,07
50;32;3103;5/10/17;False;Approved;Giant Bicycles;Standard;medium;medium;642,7;211,37
51;77;3108;3/24/17;False;Approved;Norco Bicycles;Road;medium;large;1240,31;795,10
52;96;857;11/27/17;False;Approved;Giant Bicycles;Standard;medium;large;1635,3;993,66
53;6;3455;12/21/17;True;Approved;OHM Cycles;Standard;high;medium;227,88;136,73
54;27;2549;2/9/17;True;Approved;Trek Bicycles;Standard;medium;medium;499,53;388,72
55;0;3140;9/18/17;False;Approved;Norco Bicycles;Standard;low;medium;363,01;290,41
56;47;3406;11/14/17;False;Approved;Trek Bicycles;Road;low;small;1720,7;1531,42
57;94;2294;8/30/17;True;Approved;Giant Bicycles;Standard;medium;large;1635,3;993,66
58;91;1031;11/14/17;False;Approved;Solex;Standard;medium;medium;100,35;75,26
59;93;993;2/15/17;True;Approved;OHM Cycles;Standard;high;medium;1458,17;874,90
60;60;3473;12/18/17;False;Approved;Giant Bicycles;Standard;high;small;1977,36;1759,85
61;0;1839;2/24/17;False;Approved;OHM Cycles;Road;high;large;12,01;7,21
62;33;1824;12/18/17;True;Approved;Giant Bicycles;Standard;medium;small;1311,44;1167,18
63;35;368;12/17/17;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
64;0;2000;7/8/17;False;Approved;Trek Bicycles;Standard;medium;medium;499,53;388,72
65;28;825;5/16/17;True;Approved;Norco Bicycles;Standard;medium;small;1216,14;1082,36
66;86;3315;2/23/17;True;Approved;OHM Cycles;Standard;medium;medium;235,63;125,07
67;2;75;7/3/17;True;Approved;Solex;Standard;medium;medium;71,49;53,62
68;4;1498;9/30/17;True;Approved;Giant Bicycles;Standard;high;medium;1129,13;677,48
69;38;1612;10/21/17;True;Approved;Trek Bicycles;Standard;medium;large;2091,47;388,92
70;27;2192;5/6/17;True;Approved;Trek Bicycles;Standard;medium;medium;499,53;388,72
71;54;419;1/3/17;False;Approved;WeareA2B;Standard;medium;medium;1292,84;13,44
72;77;3307;5/9/17;True;Approved;WeareA2B;Standard;medium;medium;1769,64;108,76
73;22;2430;7/23/17;False;Approved;WeareA2B;Standard;medium;medium;60,34;45,26
74;56;1506;1/21/17;True;Approved;OHM Cycles;Standard;medium;medium;183,86;137,90
75;58;1346;6/20/17;False;Approved;OHM Cycles;Standard;medium;medium;912,52;141,40
76;22;927;3/10/17;False;Approved;WeareA2B;Standard;medium;medium;60,34;45,26
77;50;763;6/2/17;False;Approved;WeareA2B;Standard;medium;small;175,89;131,92
78;80;2397;11/7/17;False;Approved;OHM Cycles;Touring;low;medium;1073,07;933,84
79;87;102;9/12/17;True;Approved;Giant Bicycles;Standard;high;medium;1179;707,40
80;15;2884;12/16/17;False;Approved;Norco Bicycles;Standard;low;medium;958,74;748,90
81;84;759;10/7/17;True;Approved;Giant Bicycles;Road;medium;medium;792,9;594,68
82;21;773;4/27/17;True;Approved;Solex;Standard;medium;large;1071,23;380,74
83;0;3398;4/1/17;True;Approved;OHM Cycles;Standard;medium;medium;235,63;125,07
84;33;3297;11/2/17;True;Approved;Giant Bicycles;Standard;medium;small;1311,44;1167,18
85;84;2434;2/13/17;True;Approved;Trek Bicycles;Road;medium;medium;290,62;215,14
86;1;1861;7/19/17;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
87;27;1233;5/23/17;False;Approved;Trek Bicycles;Standard;medium;medium;499,53;388,72
88;31;1390;8/6/17;False;Approved;WeareA2B;Standard;medium;medium;752,64;205,36
89;0;2682;4/4/17;True;Approved;OHM Cycles;Road;high;large;12,01;7,21
90;62;439;8/15/17;True;Approved;Solex;Standard;medium;medium;478,16;298,72
91;17;1579;4/15/17;True;Approved;Solex;Standard;high;medium;1024,66;614,80
92;73;2984;7/25/17;True;Approved;Solex;Standard;medium;medium;1945,43;333,18
93;33;3470;11/28/17;True;Approved;Giant Bicycles;Standard;medium;small;1311,44;1167,18
94;86;1;12/23/17;False;Approved;OHM Cycles;Standard;medium;medium;235,63;125,07
95;45;757;2/26/17;False;Approved;Solex;Standard;medium;medium;441,49;84,99
96;1;1778;2/21/17;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
97;80;211;5/31/17;True;Approved;OHM Cycles;Touring;low;medium;1073,07;933,84
98;49;333;6/23/17;;Approved;Trek Bicycles;Road;medium;medium;533,51;400,13
99;95;32;3/26/17;False;Approved;Giant Bicycles;Standard;medium;large;569,56;528,43
100;0;119;7/31/17;False;Approved;Solex;Standard;medium;medium;478,16;298,72
101;18;2347;7/27/17;False;Approved;Norco Bicycles;Standard;high;medium;1148,64;689,18
102;4;2353;4/14/17;False;Approved;Giant Bicycles;Standard;high;medium;1129,13;677,48
103;33;788;11/12/17;False;Approved;Giant Bicycles;Standard;medium;small;1311,44;1167,18
104;78;1468;9/12/17;False;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
105;89;821;10/26/17;False;Approved;WeareA2B;Touring;medium;large;1362,99;57,74
106;70;2489;2/15/17;False;Approved;Trek Bicycles;Standard;high;medium;495,72;297,43
107;79;2710;12/22/17;False;Approved;Norco Bicycles;Standard;medium;medium;1555,58;818,01
108;26;947;10/11/17;True;Approved;WeareA2B;Standard;medium;medium;1992,93;762,63
109;39;1335;3/27/17;True;Approved;Giant Bicycles;Standard;medium;large;1812,75;582,48
110;36;1076;11/4/17;False;Approved;Solex;Standard;low;medium;945,04;507,58
111;0;3320;6/11/17;True;Approved;OHM Cycles;Standard;low;medium;71,16;56,93
112;84;779;10/9/17;False;Approved;Giant Bicycles;Road;medium;medium;792,9;594,68
113;98;3296;6/7/17;True;Approved;Trek Bicycles;Standard;high;medium;358,39;215,03
114;75;455;10/24/17;True;Approved;Giant Bicycles;Touring;medium;large;1873,97;863,95
115;76;1779;5/1/17;False;Approved;WeareA2B;Standard;low;medium;642,31;513,85
116;72;2703;11/21/17;True;Approved;Norco Bicycles;Standard;medium;medium;360,4;270,30
117;42;806;3/24/17;False;Approved;OHM Cycles;Road;medium;small;1810;1610,90
118;20;22;3/21/17;False;Approved;Trek Bicycles;Standard;medium;small;1775,81;1580,47
119;64;1591;2/20/17;False;Approved;Trek Bicycles;Standard;medium;large;1469,44;596,55
120;0;678;6/16/17;False;Approved;Trek Bicycles;Standard;high;medium;495,72;297,43
121;25;50;12/4/17;False;Approved;Giant Bicycles;Road;medium;medium;1538,99;829,65
122;24;1038;12/1/17;True;Approved;Solex;Road;medium;large;1777,8;820,78
123;31;1453;3/5/17;True;Approved;WeareA2B;Standard;medium;medium;752,64;205,36
124;98;1339;3/21/17;False;Approved;OHM Cycles;Standard;medium;medium;795,34;101,58
125;22;3382;1/3/17;True;Approved;Solex;Standard;medium;medium;575,27;431,45
126;53;773;4/1/17;False;Approved;OHM Cycles;Standard;medium;medium;795,34;101,58
127;84;2503;3/16/17;True;Approved;Trek Bicycles;Road;medium;medium;290,62;215,14
128;25;1057;2/26/17;False;Approved;Giant Bicycles;Road;medium;medium;1538,99;829,65
129;50;1397;6/5/17;False;Approved;WeareA2B;Standard;medium;small;175,89;131,92
130;44;2134;9/4/17;False;Approved;WeareA2B;Standard;medium;medium;1769,64;108,76
131;96;2403;1/18/17;True;Approved;WeareA2B;Road;low;small;1172,78;1043,77
132;12;1937;9/28/17;False;Approved;WeareA2B;Standard;medium;medium;1231,15;161,60
133;93;1282;9/2/17;True;Approved;WeareA2B;Standard;medium;medium;1065,03;230,09
134;78;2183;5/9/17;False;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
135;84;1788;10/17/17;False;Approved;Giant Bicycles;Road;medium;medium;792,9;594,68
136;65;1170;4/25/17;True;Approved;WeareA2B;Standard;medium;medium;1807,45;778,69
137;0;431;9/23/17;False;Approved;;;;;1942,61;
138;29;1940;8/2/17;False;Approved;WeareA2B;Standard;medium;medium;1065,03;230,09
139;32;2073;3/25/17;False;Cancelled;Giant Bicycles;Standard;high;medium;1179;707,40
140;11;462;1/1/17;False;Approved;Giant Bicycles;Standard;high;medium;1274,93;764,96
141;10;2728;12/22/17;False;Approved;Solex;Standard;medium;medium;1945,43;333,18
142;46;2053;12/25/17;False;Approved;Solex;Standard;low;medium;1289,85;74,51
143;60;2135;1/26/17;True;Approved;Giant Bicycles;Standard;high;small;1977,36;1759,85
144;92;1217;12/20/17;False;Approved;WeareA2B;Touring;medium;large;1890,39;260,14
145;7;2992;6/7/17;True;Approved;Trek Bicycles;Road;low;medium;980,37;234,43
146;41;3261;4/6/17;True;Approved;Solex;Road;medium;medium;416,98;312,74
147;67;2748;4/25/17;True;Approved;Norco Bicycles;Road;medium;medium;544,05;376,84
148;14;3262;1/13/17;False;Approved;Trek Bicycles;Standard;medium;small;1386,84;1234,29
149;89;788;3/21/17;False;Approved;WeareA2B;Touring;medium;large;1362,99;57,74
150;9;3067;11/21/17;True;Approved;OHM Cycles;Road;medium;medium;742,54;667,40
151;31;701;11/11/17;False;Approved;Giant Bicycles;Standard;medium;medium;230,91;173,18
152;92;648;10/16/17;False;Approved;WeareA2B;Standard;medium;small;1415,01;1259,36
153;37;3286;8/19/17;True;Approved;OHM Cycles;Standard;low;medium;1793,43;248,82
154;3;3383;4/6/17;True;Approved;Trek Bicycles;Standard;medium;large;2091,47;388,92
155;56;982;11/4/17;True;Approved;Norco Bicycles;Mountain;low;small;688,63;612,88
156;14;676;8/22/17;True;Approved;Solex;Standard;high;large;1842,92;1105,75
157;6;385;9/15/17;True;Approved;Solex;Standard;high;medium;748,17;448,90
158;50;1229;3/1/17;True;Approved;WeareA2B;Standard;medium;small;175,89;131,92
159;10;3232;8/16/17;False;Approved;WeareA2B;Touring;medium;medium;1466,68;363,25
160;0;3300;8/27/17;False;Approved;;;;;1656,86;
161;69;2381;7/10/17;False;Approved;Giant Bicycles;Road;medium;medium;792,9;594,68
162;78;371;12/11/17;False;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
163;80;2519;5/20/17;True;Approved;OHM Cycles;Touring;low;medium;1073,07;933,84
164;17;2264;7/30/17;False;Approved;Solex;Standard;high;medium;1024,66;614,80
165;3;2637;10/25/17;True;Approved;Trek Bicycles;Standard;medium;large;2091,47;388,92
166;78;3262;11/27/17;False;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
167;90;3177;4/26/17;;Approved;Norco Bicycles;Standard;low;medium;363,01;290,41
168;87;2267;2/2/17;False;Approved;Giant Bicycles;Standard;high;medium;1179;707,40
169;97;456;5/2/17;False;Approved;Solex;Standard;medium;large;202,62;151,96
170;6;404;10/16/17;;Approved;OHM Cycles;Standard;high;medium;227,88;136,73
171;100;3121;10/22/17;False;Approved;Norco Bicycles;Road;medium;medium;1036,59;206,35
172;55;2365;4/11/17;True;Approved;Trek Bicycles;Road;medium;large;1894,19;598,76
173;100;2528;11/16/17;False;Approved;Norco Bicycles;Road;medium;medium;1036,59;206,35
174;10;3151;12/17/17;False;Approved;WeareA2B;Touring;medium;medium;1466,68;363,25
175;25;3241;12/23/17;False;Approved;Giant Bicycles;Road;medium;medium;1538,99;829,65
176;74;1335;3/30/17;True;Approved;WeareA2B;Standard;medium;medium;1228,07;400,91
177;90;2234;4/13/17;False;Approved;Norco Bicycles;Standard;low;medium;363,01;290,41
178;56;3226;7/25/17;True;Approved;OHM Cycles;Standard;medium;medium;183,86;137,90
179;62;1365;1/31/17;False;Approved;Solex;Standard;medium;medium;478,16;298,72
180;20;3349;3/18/17;True;Approved;Trek Bicycles;Standard;medium;small;1775,81;1580,47
181;17;1002;2/24/17;False;Approved;Solex;Standard;high;medium;1024,66;614,80
182;16;2282;2/18/17;False;Approved;Norco Bicycles;Standard;high;small;1661,92;1479,11
183;46;2656;1/7/17;False;Approved;Solex;Standard;low;medium;1289,85;74,51
184;71;2409;7/5/17;True;Approved;Solex;Standard;high;large;1842,92;1105,75
185;91;1711;11/19/17;False;Approved;WeareA2B;Standard;low;medium;642,31;513,85
186;17;2582;11/8/17;True;Approved;Solex;Standard;high;medium;1024,66;614,80
187;1;1005;7/24/17;True;Approved;Giant Bicycles;Touring;medium;large;1873,97;863,95
188;3;1597;1/15/17;True;Approved;Trek Bicycles;Standard;medium;large;2091,47;388,92
189;56;2713;1/12/17;True;Approved;OHM Cycles;Standard;medium;medium;183,86;137,90
190;37;1435;11/27/17;True;Approved;OHM Cycles;Standard;low;medium;1793,43;248,82
191;34;1477;6/30/17;True;Approved;Norco Bicycles;Road;high;large;774,53;464,72
192;0;1614;7/15/17;True;Approved;Giant Bicycles;Standard;medium;medium;230,91;173,18
193;12;1254;6/22/17;True;Approved;WeareA2B;Standard;medium;medium;1231,15;161,60
194;25;1423;5/2/17;False;Approved;Giant Bicycles;Road;medium;medium;1538,99;829,65
195;81;276;12/27/17;False;Approved;Norco Bicycles;Standard;medium;small;586,45;521,94
196;19;1315;12/21/17;True;Approved;OHM Cycles;Road;high;large;12,01;7,21
197;45;591;5/23/17;True;Approved;Solex;Standard;medium;medium;441,49;84,99
198;74;1017;2/2/17;False;Approved;WeareA2B;Standard;medium;medium;1762,96;950,52
199;33;2123;6/8/17;False;Approved;Giant Bicycles;Standard;medium;small;1311,44;1167,18
200;57;2889;4/15/17;True;Approved;WeareA2B;Touring;medium;large;1890,39;260,14
201;0;3208;9/5/17;True;Approved;Trek Bicycles;Road;medium;medium;533,51;400,13
202;23;2406;2/26/17;True;Approved;Norco Bicycles;Mountain;low;small;688,63;612,88
203;67;2041;7/29/17;False;Approved;Norco Bicycles;Road;medium;medium;544,05;376,84
204;81;1598;7/3/17;True;Approved;Norco Bicycles;Standard;medium;small;586,45;521,94
205;58;1842;5/27/17;True;Approved;OHM Cycles;Standard;medium;medium;912,52;141,40
206;5;141;5/5/17;False;Approved;Giant Bicycles;Standard;high;medium;1129,13;677,48
207;94;1321;9/9/17;False;Approved;Giant Bicycles;Standard;medium;large;1635,3;993,66
208;51;183;5/21/17;False;Approved;OHM Cycles;Standard;high;medium;2005,66;1203,40
209;59;2591;9/22/17;False;Approved;WeareA2B;Standard;medium;small;1415,01;1259,36
210;63;3356;4/12/17;True;Approved;Solex;Standard;medium;medium;1483,2;99,59
211;40;766;5/7/17;True;Approved;OHM Cycles;Standard;high;medium;1458,17;874,90
212;80;1596;1/13/17;False;Approved;Trek Bicycles;Standard;medium;large;1469,44;596,55
213;82;520;12/14/17;False;Approved;Norco Bicycles;Standard;high;medium;1148,64;689,18
214;46;868;3/22/17;True;Approved;Solex;Standard;low;medium;1289,85;74,51
215;78;2999;9/30/17;False;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
216;72;352;11/29/17;True;Approved;Norco Bicycles;Standard;medium;medium;360,4;270,30
217;75;1140;6/9/17;False;Approved;Giant Bicycles;Touring;medium;large;1873,97;863,95
218;40;621;4/21/17;False;Approved;Trek Bicycles;Road;medium;large;1894,19;598,76
219;2;3307;11/13/17;False;Approved;Giant Bicycles;Road;low;small;590,26;525,33
220;10;1502;4/9/17;True;Approved;WeareA2B;Touring;medium;medium;1466,68;363,25
221;35;936;5/8/17;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
222;8;939;7/8/17;True;Approved;Solex;Road;medium;small;1703,52;1516,13
223;2;2698;11/30/17;False;Approved;Giant Bicycles;Road;low;small;590,26;525,33
224;69;579;4/25/17;True;Approved;Giant Bicycles;Road;medium;medium;792,9;594,68
225;54;2036;3/30/17;True;Approved;WeareA2B;Standard;medium;medium;1292,84;13,44
226;8;3077;3/10/17;False;Approved;Solex;Road;medium;small;1703,52;1516,13
227;86;369;3/16/17;True;Approved;OHM Cycles;Standard;medium;medium;235,63;125,07
228;13;821;4/4/17;True;Approved;Solex;Standard;medium;medium;1163,89;589,27
229;19;2687;3/13/17;True;Approved;Trek Bicycles;Mountain;low;medium;574,64;459,71
230;86;681;12/23/17;True;Approved;OHM Cycles;Standard;medium;medium;235,63;125,07
231;46;37;8/12/17;True;Approved;OHM Cycles;Standard;low;medium;1793,43;248,82
232;30;3002;8/4/17;False;Approved;Solex;Standard;high;medium;748,17;448,90
233;92;396;9/1/17;False;Approved;WeareA2B;Touring;medium;large;1890,39;260,14
234;71;550;9/1/17;True;Approved;Solex;Standard;high;large;1842,92;1105,75
235;77;1605;7/2/17;False;Approved;Norco Bicycles;Road;medium;large;1240,31;795,10
236;7;2325;8/31/17;True;Approved;Giant Bicycles;Standard;medium;small;1311,44;1167,18
237;23;1420;3/11/17;True;Approved;Norco Bicycles;Mountain;low;small;688,63;612,88
238;12;3099;10/8/17;False;Approved;WeareA2B;Standard;medium;medium;1231,15;161,60
239;61;1645;10/1/17;True;Approved;OHM Cycles;Standard;low;medium;71,16;56,93
240;21;546;11/23/17;False;Approved;Solex;Standard;medium;large;1071,23;380,74
241;86;2885;3/27/17;True;Approved;OHM Cycles;Standard;medium;medium;235,63;125,07
242;57;2740;12/4/17;False;Approved;WeareA2B;Touring;medium;large;1890,39;260,14
243;63;3166;11/13/17;True;Approved;Solex;Standard;medium;medium;1483,2;99,59
244;63;3487;12/20/17;True;Approved;WeareA2B;Standard;medium;medium;1992,93;762,63
245;33;2890;9/22/17;True;Approved;Giant Bicycles;Standard;medium;small;1311,44;1167,18
246;98;3370;1/22/17;False;Approved;OHM Cycles;Standard;medium;medium;795,34;101,58
247;15;3393;1/29/17;True;Approved;Norco Bicycles;Standard;low;medium;958,74;748,90
248;57;2410;7/21/17;False;Approved;WeareA2B;Touring;medium;large;1890,39;260,14
249;61;3466;2/10/17;True;Approved;OHM Cycles;Standard;low;medium;71,16;56,93
250;48;1454;11/25/17;False;Cancelled;WeareA2B;Standard;medium;medium;1762,96;950,52
251;63;1967;4/11/17;;Approved;Solex;Standard;medium;medium;1483,2;99,59
252;78;3089;12/3/17;False;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
253;2;3123;12/30/17;False;Approved;Giant Bicycles;Road;low;small;590,26;525,33
254;67;2692;7/26/17;False;Approved;Solex;Standard;medium;large;1071,23;380,74
255;67;2801;4/1/17;True;Cancelled;Norco Bicycles;Road;medium;medium;544,05;376,84
256;13;1580;10/22/17;True;Approved;Solex;Standard;medium;medium;1577,53;826,51
257;65;352;3/22/17;False;Approved;WeareA2B;Standard;medium;medium;1807,45;778,69
258;49;1777;6/15/17;True;Approved;Trek Bicycles;Road;medium;medium;533,51;400,13
259;87;142;7/6/17;True;Approved;Giant Bicycles;Standard;high;medium;1179;707,40
260;31;3393;12/28/17;False;Approved;Giant Bicycles;Standard;medium;medium;230,91;173,18
261;17;599;5/9/17;False;Approved;Solex;Standard;high;medium;1024,66;614,80
262;91;1258;1/18/17;False;Approved;Solex;Standard;medium;medium;100,35;75,26
263;53;3405;10/22/17;True;Approved;OHM Cycles;Standard;medium;medium;795,34;101,58
264;38;3198;1/30/17;False;Approved;Solex;Standard;medium;medium;1577,53;826,51
265;20;834;6/26/17;False;Approved;Trek Bicycles;Standard;medium;small;1775,81;1580,47
266;44;3467;11/7/17;True;Approved;WeareA2B;Standard;medium;medium;1769,64;108,76
267;69;3436;8/13/17;True;Approved;Giant Bicycles;Road;medium;medium;792,9;594,68
268;68;1516;8/27/17;False;Approved;OHM Cycles;Standard;medium;medium;1636,9;44,71
269;11;2833;1/25/17;True;Approved;Giant Bicycles;Standard;high;medium;1274,93;764,96
270;2;2362;2/13/17;False;Approved;Solex;Standard;medium;medium;71,49;53,62
271;27;2337;7/11/17;False;Approved;Trek Bicycles;Standard;medium;medium;499,53;388,72
272;0;2149;4/30/17;True;Approved;Trek Bicycles;Standard;high;medium;358,39;215,03
273;81;2133;5/19/17;False;Approved;Solex;Standard;medium;medium;1151,96;649,49
274;6;360;5/26/17;True;Approved;OHM Cycles;Standard;high;medium;227,88;136,73
275;76;2969;2/3/17;True;Approved;WeareA2B;Standard;low;medium;642,31;513,85
276;18;1720;4/28/17;False;Approved;Solex;Standard;medium;medium;575,27;431,45
277;18;2904;3/23/17;False;Approved;Norco Bicycles;Standard;high;medium;1148,64;689,18
278;9;754;6/3/17;False;Approved;OHM Cycles;Road;medium;medium;742,54;667,40
279;35;1826;4/25/17;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
280;93;2487;4/8/17;False;Approved;WeareA2B;Standard;medium;medium;1065,03;230,09
281;40;2815;2/18/17;False;Approved;OHM Cycles;Standard;high;medium;1458,17;874,90
282;1;541;5/4/17;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
283;16;302;3/29/17;False;Approved;Norco Bicycles;Standard;high;small;1661,92;1479,11
284;44;2024;10/3/17;True;Approved;WeareA2B;Standard;medium;medium;1769,64;108,76
285;48;142;7/27/17;True;Approved;WeareA2B;Standard;medium;medium;1762,96;950,52
286;56;768;8/7/17;True;Approved;OHM Cycles;Standard;medium;medium;183,86;137,90
287;36;2147;2/7/17;True;Approved;Solex;Standard;low;medium;1289,85;74,51
288;36;529;11/20/17;True;Approved;Solex;Standard;low;medium;945,04;507,58
289;13;825;2/23/17;False;Approved;Solex;Standard;medium;medium;1163,89;589,27
290;55;624;4/5/17;True;Approved;Trek Bicycles;Road;medium;large;1894,19;598,76
291;38;2302;11/7/17;False;Approved;Solex;Standard;medium;medium;1577,53;826,51
292;64;3380;10/28/17;False;Approved;Giant Bicycles;Standard;high;small;1977,36;1759,85
293;0;314;11/19/17;False;Approved;OHM Cycles;Standard;high;medium;227,88;136,73
294;79;1079;8/25/17;True;Approved;Norco Bicycles;Standard;medium;medium;1555,58;818,01
295;11;1643;1/20/17;True;Approved;Giant Bicycles;Standard;high;medium;1274,93;764,96
296;91;1524;3/14/17;True;Approved;Solex;Standard;medium;medium;100,35;75,26
297;18;3205;4/14/17;True;Approved;Solex;Standard;medium;medium;575,27;431,45
298;17;2860;11/20/17;True;Approved;Solex;Standard;high;medium;1024,66;614,80
299;13;772;5/24/17;False;Approved;Solex;Standard;medium;medium;1163,89;589,27
300;4;323;3/25/17;True;Approved;Giant Bicycles;Standard;high;medium;1129,13;677,48
301;78;2530;3/24/17;;Approved;Giant Bicycles;Standard;medium;large;1765,3;709,48
302;42;2426;3/17/17;True;Approved;OHM Cycles;Road;medium;small;1810;1610,90
303;48;1883;11/18/17;False;Approved;WeareA2B;Standard;medium;medium;1762,96;950,52
304;12;2745;4/7/17;False;Approved;WeareA2B;Standard;medium;medium;1231,15;161,60
305;77;2819;1/4/17;False;Approved;Norco Bicycles;Road;medium;large;1240,31;795,10
306;25;792;12/13/17;False;Approved;OHM Cycles;Standard;high;medium;2005,66;1203,40
307;35;923;4/20/17;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
308;7;3353;7/21/17;False;Approved;Trek Bicycles;Road;low;medium;980,37;234,43
309;68;3394;11/27/17;False;Approved;OHM Cycles;Standard;medium;medium;1636,9;44,71
310;75;3213;10/21/17;False;Approved;Giant Bicycles;Touring;medium;large;1873,97;863,95
311;77;3260;3/7/17;False;Approved;WeareA2B;Standard;medium;medium;1769,64;108,76
312;1;1015;12/4/17;False;Approved;Giant Bicycles;Standard;medium;medium;1403,5;954,82
313;81;2266;1/25/17;False;Approved;Solex;Standard;medium;medium;1151,96;649,49
314;6;58;8/20/17;True;Approved;OHM Cycles;Standard;high;medium;227,88;136,73
315;40;3118;12/18/17;True;Approved;Trek Bicycles;Road;medium;large;1894,19;598,76
